epoch,accuracy,loss,val_accuracy,val_loss
0,0.3667312562465668,1.3210808038711548,0.42363113164901733,1.27595055103302
1,0.6531968116760254,0.9893457889556885,0.6426513195037842,0.9227908849716187
2,0.7904788255691528,0.5977988243103027,0.6772334575653076,0.778300940990448
3,0.8452809453010559,0.41997745633125305,0.6858789920806885,0.7884567379951477
4,0.8815388679504395,0.329324871301651,0.6916426420211792,0.8270622491836548
5,0.9036811590194702,0.2769453823566437,0.6829971075057983,0.887421727180481
6,0.9225021004676819,0.22658972442150116,0.680115282535553,0.9843035936355591
7,0.9374480843544006,0.1949792355298996,0.6829971075057983,1.0364412069320679
8,0.947965681552887,0.16366714239120483,0.6657060384750366,1.0925792455673218
9,0.9559922218322754,0.1418210119009018,0.6714697480201721,1.1437015533447266
10,0.9637420177459717,0.12722712755203247,0.6714697480201721,1.2078931331634521
11,0.9654027223587036,0.11197131127119064,0.6858789920806885,1.301127552986145
12,0.9673401713371277,0.10813816636800766,0.680115282535553,1.3311256170272827
13,0.9725989699363708,0.09904272109270096,0.6628242135047913,1.3797266483306885
14,0.9712150692939758,0.09206772595643997,0.6714697480201721,1.3888745307922363
15,0.9731525182723999,0.09083925932645798,0.6541786789894104,1.458220362663269
16,0.976473867893219,0.0834142342209816,0.6570605039596558,1.490410566329956
17,0.975643515586853,0.07922780513763428,0.6685879230499268,1.5043660402297974
18,0.975643515586853,0.07601699233055115,0.6743515729904175,1.5234507322311401
19,0.974259614944458,0.07553444057703018,0.6685879230499268,1.5661455392837524
20,0.9778577089309692,0.06793683022260666,0.651296854019165,1.625896692276001
21,0.9759202599525452,0.07243464887142181,0.6599423885345459,1.617676854133606
22,0.976473867893219,0.06518685817718506,0.6570605039596558,1.6234112977981567
23,0.975643515586853,0.06798644363880157,0.651296854019165,1.6736454963684082
24,0.977027416229248,0.06635095924139023,0.6628242135047913,1.6659111976623535
